mutation_probability|crosover_probability|population_size|tournament_size|number_of_generations|max_number_of_layers|learning_rate|hidden_units|number_of_epochs|best_accuracy|best_model
0.0|0.0|10|1|10|5|1e-06|32|50|[1, 1]|0.5734265734265734
0.0|0.0|10|1|10|5|1e-06|32|50|[1, 0, 1, 0]|0.5804195804195804
0.0|0.0|10|1|10|5|1e-06|32|50|[0, 1, 0, 0]|0.6293706293706294
0.0|0.0|10|1|10|5|1e-06|32|50|[0, 0]|0.4825174825174825
0.0|0.0|10|1|10|5|1e-06|32|50|[1, 1]|0.7062937062937062
0.0|0.0|10|1|10|5|1e-06|64|50|[1, 0, 1, 0]|0.5804195804195804
0.0|0.0|10|1|10|5|1e-06|64|50|[1, 0, 0, 1]|0.5804195804195804
0.0|0.0|10|1|10|5|1e-06|64|50|[0, 1, 0, 0]|0.6503496503496503
0.0|0.0|10|1|10|5|1e-06|64|50|[0, 1, 1, 0, 1]|0.6783216783216783
0.0|0.0|10|1|10|5|1e-06|64|50|[0, 1, 1, 0]|0.6083916083916084
0.0|0.0|10|1|10|5|1e-06|100|50|[0, 0]|0.6153846153846154
0.0|0.0|10|1|10|5|1e-06|100|50|[1, 1]|0.6293706293706294
0.0|0.0|10|1|10|5|1e-06|100|50|[1, 0, 0, 0, 1]|0.6293706293706294
0.0|0.0|10|1|10|5|1e-06|100|50|[1, 1, 0, 0]|0.5454545454545454
0.0|0.0|10|1|10|5|1e-06|100|50|[1, 0]|0.3986013986013986
0.0|0.0|10|1|10|10|1e-06|32|50|[1, 1, 1, 0, 0]|0.48951048951048953
0.0|0.0|10|1|10|10|1e-06|32|50|[1, 0, 1, 1, 0, 0, 1]|0.5244755244755245
0.0|0.0|10|1|10|10|1e-06|32|50|[1, 0, 0, 1, 1, 1, 0, 1, 0]|0.5314685314685315
0.0|0.0|10|1|10|10|1e-06|32|50|[0, 1]|0.5384615384615384
0.0|0.0|10|1|10|10|1e-06|32|50|[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]|0.5594405594405595
0.0|0.0|10|1|10|10|1e-06|64|50|[1, 0, 0, 1, 1, 1, 0]|0.6223776223776224
0.0|0.0|10|1|10|10|1e-06|64|50|[1, 1, 0, 0, 1, 1]|0.6573426573426573
0.0|0.0|10|1|10|10|1e-06|64|50|[1, 1, 1, 1, 0, 0]|0.4755244755244755
0.0|0.0|10|1|10|10|1e-06|64|50|[1, 0, 0, 1, 1, 1]|0.6223776223776224
0.0|0.0|10|1|10|10|1e-06|64|50|[0, 1, 1, 1, 1, 1, 1]|0.6573426573426573
0.0|0.0|10|1|10|10|1e-06|100|50|[0, 1, 0, 1, 0, 1, 1, 1, 1]|0.6293706293706294
0.0|0.0|10|1|10|10|1e-06|100|50|[1, 0, 1, 1, 0, 0, 1, 1, 0]|0.4825174825174825
0.0|0.0|10|1|10|10|1e-06|100|50|[1, 1, 1, 0]|0.6293706293706294
0.0|0.0|10|1|10|10|1e-06|100|50|[1, 1, 1, 0, 0, 0, 0]|0.6643356643356644
0.0|0.0|10|1|10|10|1e-06|100|50|[1, 1, 1, 0]|0.6643356643356644
0.0|0.0|10|3|10|5|1e-06|32|50|[1, 0, 1, 0, 1]|0.5664335664335665
0.0|0.0|10|3|10|5|1e-06|32|50|[0, 1, 0, 1]|0.4755244755244755
0.0|0.0|10|3|10|5|1e-06|32|50|[0, 1]|0.5384615384615384
0.0|0.0|10|3|10|5|1e-06|32|50|[1, 1, 0, 0]|0.6223776223776224
0.0|0.0|10|3|10|5|1e-06|32|50|[1, 0, 1, 1, 0]|0.6433566433566433
0.0|0.0|10|3|10|5|1e-06|64|50|[1, 1]|0.7062937062937062
0.0|0.0|10|3|10|5|1e-06|64|50|[1, 1, 0]|0.5244755244755245
0.0|0.0|10|3|10|5|1e-06|64|50|[0, 1, 1, 1, 1]|0.6153846153846154
0.0|0.0|10|3|10|5|1e-06|64|50|[1, 1, 0]|0.6363636363636364
0.0|0.0|10|3|10|5|1e-06|64|50|[1, 0]|0.6013986013986014
0.0|0.0|10|3|10|5|1e-06|100|50|[1, 0, 1, 0, 0]|0.5734265734265734
0.0|0.0|10|3|10|5|1e-06|100|50|[0, 0, 0, 0, 1]|0.5454545454545454
0.0|0.0|10|3|10|5|1e-06|100|50|[1, 1, 1, 1]|0.7202797202797203
0.0|0.0|10|3|10|5|1e-06|100|50|[0, 0]|0.6013986013986014
0.0|0.0|10|3|10|5|1e-06|100|50|[1, 1, 0, 1]|0.6573426573426573
0.0|0.0|10|3|10|10|1e-06|32|50|[1, 1, 1, 1, 0, 1, 1]|0.5874125874125874
0.0|0.0|10|3|10|10|1e-06|32|50|[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]|0.5314685314685315
0.0|0.0|10|3|10|10|1e-06|32|50|[0, 1, 1, 0, 1, 1, 0, 1, 1, 1]|0.6363636363636364
0.0|0.0|10|3|10|10|1e-06|32|50|[1, 0, 0, 0, 1, 0]|0.5244755244755245
0.0|0.0|10|3|10|10|1e-06|32|50|[1, 1, 1, 0, 1, 1, 0, 1, 0, 1]|0.6293706293706294
0.0|0.0|10|3|10|10|1e-06|64|50|[0, 1, 1, 1, 0, 0, 0, 1, 1, 1]|0.5174825174825175
0.0|0.0|10|3|10|10|1e-06|64|50|[1, 0, 0, 0, 1]|0.5244755244755245
0.0|0.0|10|3|10|10|1e-06|64|50|[0, 0, 1, 0, 1, 1, 0]|0.4825174825174825
0.0|0.0|10|3|10|10|1e-06|64|50|[1, 1, 0, 0, 1, 1]|0.6083916083916084
0.0|0.0|10|3|10|10|1e-06|64|50|[1, 1, 0]|0.6363636363636364
0.0|0.0|10|3|10|10|1e-06|100|50|[0, 1, 0, 0, 1, 1]|0.5594405594405595
0.0|0.0|10|3|10|10|1e-06|100|50|[1, 0, 1, 0, 1, 0, 1, 1, 1]|0.5804195804195804
0.0|0.0|10|3|10|10|1e-06|100|50|[1, 0, 0, 1]|0.5804195804195804
0.0|0.0|10|3|10|10|1e-06|100|50|[1, 0, 0, 1, 1, 0]|0.5384615384615384
0.0|0.0|10|3|10|10|1e-06|100|50|[0, 0]|0.4965034965034965
0.0|0.0|10|5|10|5|1e-06|32|50|[0, 0]|0.6223776223776224
0.0|0.0|10|5|10|5|1e-06|32|50|[0, 0, 0]|0.5384615384615384
0.0|0.0|10|5|10|5|1e-06|32|50|[1, 0]|0.5454545454545454
0.0|0.0|10|5|10|5|1e-06|32|50|[1, 1, 0, 1, 1]|0.7062937062937062
0.0|0.0|10|5|10|5|1e-06|32|50|[1, 0, 1, 1, 0]|0.5944055944055944
0.0|0.0|10|5|10|5|1e-06|64|50|[1, 0, 0]|0.5664335664335665
0.0|0.0|10|5|10|5|1e-06|64|50|[0, 1]|0.7132867132867133
0.0|0.0|10|5|10|5|1e-06|64|50|[0, 0, 1, 0]|0.48951048951048953
0.0|0.0|10|5|10|5|1e-06|64|50|[0, 0, 1]|0.4825174825174825
0.0|0.0|10|5|10|5|1e-06|64|50|[0, 1, 1, 1]|0.6503496503496503
0.0|0.0|10|5|10|5|1e-06|100|50|[1, 1, 0, 0]|0.6783216783216783
0.0|0.0|10|5|10|5|1e-06|100|50|[0, 0, 0, 1]|0.5664335664335665
0.0|0.0|10|5|10|5|1e-06|100|50|[0, 0, 1, 0]|0.6713286713286714
0.0|0.0|10|5|10|5|1e-06|100|50|[0, 1, 1]|0.5874125874125874
0.0|0.0|10|5|10|5|1e-06|100|50|[0, 1]|0.7132867132867133
0.0|0.0|10|5|10|10|1e-06|32|50|[0, 0, 0, 0, 1, 0, 0, 1]|0.46853146853146854
0.0|0.0|10|5|10|10|1e-06|32|50|[1, 0, 1, 1, 1, 1, 1, 0, 1, 1]|0.6223776223776224
